State,Democrat,Republican,Independent,Other,Democrat lead
DC,144.12560000000002,16.4052,38.96920000000001,6.1695,62.099825205001224
MD,516.6170999999999,209.08549999999997,287.9372999999999,34.368500000000004,29.344383117539902
HI,73.92229999999998,28.1528,53.312,2.0263,29.075987177711678
NY,1657.156899999998,763.2633999999993,862.7511000000005,119.46929999999998,26.270581551557864
MA,426.8993,149.1443,472.6593000000001,37.92070000000001,25.5612891161208
CA,2166.794799999999,1001.9362000000011,1301.8215000000027,171.52979999999985,25.09344998041067
NJ,666.5909000000015,391.34020000000027,362.4722999999997,35.5307,18.905436722719866
CT,214.6217000000001,117.15619999999997,200.16500000000008,18.6369,17.702338516596523
IL,875.2273000000006,540.4494,558.9121999999995,73.80360000000002,16.343444920834294
NV,267.30170000000027,169.6759999999999,161.74599999999992,20.664099999999998,15.761643997508568
NM,134.1839,84.67540000000001,85.99730000000001,13.496300000000002,15.551452491873006
WA,472.9804000000002,298.58500000000015,403.53520000000003,66.24839999999998,14.0488613596982
VA,642.0327000000016,413.4867,527.3681000000001,58.968599999999995,13.91997751812728
VT,41.69479999999999,28.107299999999995,50.207800000000006,10.582799999999999,10.404486621380823
MN,310.37480000000033,223.48490000000012,278.61670000000004,42.641999999999996,10.161154291616244
OR,276.8066999999999,201.4501,217.72839999999985,56.816,10.010159388693848
RI,50.238000000000014,35.7148,74.04020000000001,12.055700000000002,8.441330855740272
DE,84.06970000000001,68.1179,45.9298,7.7520999999999995,7.748500870697214
CO,297.5238999999999,234.4486,380.2378999999999,53.2942,6.532884462694422
MI,592.2295000000009,493.35789999999986,494.15350000000063,59.810300000000005,6.030406369743195
NH,97.15909999999998,79.3347,149.46759999999998,6.3508,5.3637513157807595
ME,107.27350000000003,91.39640000000003,92.89590000000003,20.0682,5.094790683943342
NC,619.4692000000009,556.2859999999989,514.2729,54.6624,3.621456069142463
PA,1024.2001999999989,964.2994999999987,604.0254000000003,88.51589999999995,2.2342328968486567
FL,1479.897199999996,1401.838200000002,1133.766900000001,142.54090000000002,1.877301322891356
TX,1609.3755999999996,1537.9015000000006,1277.2313999999997,165.7263,1.5570902821790074
GA,706.6903999999989,678.9380000000001,512.2127,71.6373,1.4091243651110283
AZ,413.9018999999994,409.9540999999999,430.52059999999983,36.406699999999994,0.30584529564330926
MS,176.08879999999994,175.9590999999999,106.97730000000003,9.993300000000001,0.027653493412315804
WI,342.6162999999996,359.78819999999985,355.5615999999998,29.957600000000006,-1.5784103241799252
OH,731.143599999999,849.8177999999999,750.6493999999993,80.44080000000001,-4.92005229075535
IA,160.76829999999998,188.79339999999988,158.61840000000007,14.858500000000001,-5.358132267867017
MT,42.5388,54.2012,81.5566,17.8502,-5.945750835598642
SD,49.77259999999999,59.5059,37.064600000000006,2.9229000000000003,-6.520774992295639
SC,309.82320000000004,391.6238000000001,323.42819999999983,37.66300000000001,-7.69860321257156
AK,19.9546,29.896,48.9126,12.062100000000001,-8.970334391154369
TN,384.94250000000034,546.0094999999999,357.0396999999999,78.61890000000001,-11.785873752186582
MO,361.4004999999993,512.1197000000001,340.5616,33.5587,-12.080338847608814
AL,278.5806999999998,397.0024999999999,248.72499999999994,26.703,-12.452198249610532
IN,353.88660000000004,526.7265,371.4587,59.787000000000006,-13.175190805595841
LA,174.2027,257.2736,170.89119999999988,17.901799999999998,-13.392715067471503
NE,73.88499999999999,117.84830000000002,98.2564,19.2076,-14.218526487779817
KS,113.43780000000008,182.9865,113.59159999999999,30.077400000000004,-15.803171736538573
AR,126.03289999999998,223.5942000000001,212.3144,32.24,-16.419444227058584
OK,158.82349999999997,261.5315999999999,178.49560000000008,19.174500000000005,-16.618755998946313
KY,281.76430000000005,442.36129999999974,198.19000000000005,35.70969999999999,-16.76333599958161
WV,94.67950000000002,169.81400000000005,139.32389999999998,17.971299999999996,-17.81330320134229
ND,38.78780000000001,69.7398,39.029199999999996,9.4948,-19.708172345904142
WY,19.172599999999996,37.157,25.9175,6.4899,-20.267081375300048
UT,76.6741,197.936,160.3991000000001,27.824800000000003,-26.199868635407075
ID,48.545100000000005,140.42140000000003,107.9066,20.754199999999997,-28.925819663486113
